"","Distinct_values"
"clone.id",2050
"AV",69
"CDR1a",55
"CDR2a",59
"CDR3a",1881
"AJ",73
"BV",67
"CDR1b",41
"CDR2b",52
"CDR3b",1902
"BJ",14
"Epitope",363
"Epitope.gene",154
"Epitope.species",29
"MHC",61
"Source.ID",1302
"Reference",201
"Score",4
"AV.gene",45
"AJ.gene",66
"BV.gene",46
"BJ.gene",13
"AV.family",34
"BV.family",23
"AJ.family",64
"BJ.family",2
"MHC.allele",42
"MHC.locus",6
"alpha.seq",1906
"beta.seq",1926
"full.seq",2050
"alpha.seq.constant",1906
"beta.seq.constant",1926
"full.seq.constant",2050
"CDR2.5a",42
"CDR2.5b",37
"crystal.structure",57
"crystal.structure.name",35
"homolog.structure",67
"Compare",2050
