"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRBV10-2*02","TRBV10-2","TRBV10",4,22,66
"TRBV19*02","TRBV19","TRBV19",105,509,509
"TRBV5-8*01","TRBV5-8","TRBV5",5,5,146
"TRBV9*01","TRBV9","TRBV9",100,105,105
"TRBV19*03","TRBV19","TRBV19",6,509,509
"TRBV19*01","TRBV19","TRBV19",398,509,509
"TRBV2*03","TRBV2","TRBV2",3,62,62
"TRBV27*01","TRBV27","TRBV27",214,214,214
"TRBV7-9*01","TRBV7-9","TRBV7",58,76,169
"TRBV5-5*01","TRBV5-5","TRBV5",12,12,146
"TRBV29-1*02","TRBV29-1","TRBV29",3,60,60
"TRBV4-2*01","TRBV4-2","TRBV4",17,17,116
"TRBV4-3*01","TRBV4-3","TRBV4",24,24,116
"TRBV18*01","TRBV18","TRBV18",38,38,38
"TRBV11-3*02","TRBV11-3","TRBV11",1,6,58
"TRBV25-1*01","TRBV25-1","TRBV25",49,49,49
"TRBV29-1*01","TRBV29-1","TRBV29",57,60,60
"TRBV5-1*01","TRBV5-1","TRBV5",39,39,146
"TRBV28*01","TRBV28","TRBV28",141,141,141
"TRBV30*01","TRBV30","TRBV30",22,26,26
"TRBV6-6*03","TRBV6-6","TRBV6",1,19,271
"TRBV7-2*04","TRBV7-2","TRBV7",1,28,169
"TRBV5-4*01","TRBV5-4","TRBV5",21,22,146
"TRBV13*02","TRBV13","TRBV13",1,34,34
"TRBV6-5*01","TRBV6-5","TRBV6",130,130,271
"TRBV12-4*01","TRBV12-4","TRBV12",51,51,104
"TRBV20-1*01","TRBV20-1","TRBV20",120,120,120
"TRBV24-1*01","TRBV24-1","TRBV24",27,27,27
"TRBV6-2*01","TRBV6-2","TRBV6",38,38,271
"TRBV6-1*01","TRBV6-1","TRBV6",55,55,271
"TRBV30*02","TRBV30","TRBV30",4,26,26
"TRBV9*02","TRBV9","TRBV9",5,105,105
"TRBV6-3*01","TRBV6-3","TRBV6",16,16,271
"TRBV5-6*01","TRBV5-6","TRBV5",68,68,146
"TRBV4-1*01","TRBV4-1","TRBV4",74,75,116
"TRBV7-3*01","TRBV7-3","TRBV7",28,28,169
"TRBV6-4*01","TRBV6-4","TRBV6",9,12,271
"TRBV10-3*01","TRBV10-3","TRBV10",33,37,66
"TRBV11-2*01","TRBV11-2","TRBV11",36,37,58
"TRBV12-3*01","TRBV12-3","TRBV12",44,44,104
"TRBV3-1*01","TRBV3-1","TRBV3",41,41,41
"TRBV7-8*03","TRBV7-8","TRBV7",1,17,169
"TRBV11-1*01","TRBV11-1","TRBV11",15,15,58
"TRBV7-9*03","TRBV7-9","TRBV7",18,76,169
"TRBV6-6*01","TRBV6-6","TRBV6",15,19,271
"TRBV11-2*03","TRBV11-2","TRBV11",1,37,58
"TRBV7-2*02","TRBV7-2","TRBV7",3,28,169
"TRBV7-6*01","TRBV7-6","TRBV7",17,17,169
"TRBV7-8*01","TRBV7-8","TRBV7",16,17,169
"TRBV2*01","TRBV2","TRBV2",59,62,62
"TRBV14*01","TRBV14","TRBV14",35,35,35
"TRBV7-2*01","TRBV7-2","TRBV7",24,28,169
"TRBV13*01","TRBV13","TRBV13",33,34,34
"TRBV10-2*01","TRBV10-2","TRBV10",18,22,66
"TRBV6-4*02","TRBV6-4","TRBV6",3,12,271
"TRBV15*01","TRBV15","TRBV15",17,25,25
"TRBV10-3*02","TRBV10-3","TRBV10",4,37,66
"TRBV6-8*01","TRBV6-8","TRBV6",1,1,271
"TRBV10-1*01","TRBV10-1","TRBV10",6,7,66
"TRBV16*01","TRBV16","TRBV16",3,3,3
"TRBV10-2*02","TRBV10-2","TRBV10",4,22,66
"TRBV15*02","TRBV15","TRBV15",8,25,25
"TRBV4-1*02","TRBV4-1","TRBV4",1,75,116
"TRBV6-6*02","TRBV6-6","TRBV6",3,19,271
"TRBV10-1*02","TRBV10-1","TRBV10",1,7,66
"TRBV12-5*01","TRBV12-5","TRBV12",9,9,104
"TRBV5-4*02","TRBV5-4","TRBV5",1,22,146
"TRBV7-7*01","TRBV7-7","TRBV7",3,3,169
"TRBV11-3*01","TRBV11-3","TRBV11",5,6,58
